"tweet","tweet_id","date_tweeted","covax_relevancy","stance"
"@swahilitimes Si tulikubali chanjo lakini 🤔",1.46892e+18,2021-12-09,"relevant",2
"Ukiachana na chanjo, tozo, haji manara na mama J ni janga gani jengine Tz",1.43446e+18,2021-09-05,"relevant",2
"@cw_pedro Kwa hiyo Mwamba kaka wa Taifa Leo kutwambia kuwa tunapaswa kuoigwa chanjo sote basi yuko sahihi!",1.41717e+18,2021-07-19,"relevant",1
"RT @JohnMbundi: Usikose kuungana na @UNICEFTanzania Kuanzia saa 4:00 hadi saa 4:30Asbh kupata Elimu kuhusu chanjo ya UVIKO-19.
#ElimikaWiki…",1.4367e+18,2021-09-11,"relevant",1
"@HKigwangalla sayansi yako kwan kipindi cha hayati ilipotea hatukuskia ukitoa elim ya chanjo",1.41964e+18,2021-07-26,"relevant",2
"@funjojr @masoudkipanya ataieleta nani hiyo chanjo",1.35501e+18,2021-01-29,"relevant",3
"@petersonchris_ Kwa nini chanjo haitolewi kwa men kama inavotolewa kwa wanawake?",1.25613e+18,2020-05-01,"relevant",3
"Corona ipo na inaambukiza....chukua tahadhari, chanjo ni bure https://t.co/RUkw7IPRcN",1.47441e+18,2021-12-24,"relevant",1
"RT @Happie_Thom: Kwa pamoja tutaushinda ugonjwa wa UVIKO-19 endapo kila mmoja atapata chanjo na kuendelea kuzingatia njia zote za tahadhari…",1.44938e+18,2021-10-16,"relevant",1
"Pata Chanjo 😊 https://t.co/eS6zb6GFg7",1.44612e+18,2021-10-07,"relevant",1
"RT @MiriamMkanaka: Kampeni #TanzaniaIkoTayari iko hapa kukumbusha umuhimu wa kupata chanjo ya uviko 19 kwa afya yako na wanaokuzunguka #Uja…",1.56283e+18,2022-08-25,"relevant",1
"Mliochanjwa chanjo za michongo mmesikia taarifa huko au tuwaambie??? 🤣🧷",1.46885e+18,2021-12-09,"relevant",2
"@comradefyat Kama unalamba coochie haina haja ya kudunga chanjo ya korona zote ni chanjo",1.39364e+18,2021-05-15,"relevant",2
"Leo naona kila taarifa ya viotozo ipo live sana, na leo imeshika kasi kunanini kinapotezewa? 1.3t au chanjo ya covid",1.44799e+18,2021-10-12,"relevant",3
"Biashara inaamia kwenye chanjo sasa. https://t.co/SbqVgQeyPw",1.48844e+18,2022-02-01,"relevant",2
